,case_date,charges_f,charges_m,ucr,offense_type,charges_fm
212,2003-07-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
213,2003-07-01,285.0,981,{'charge_slug': '54-retail-theft'},retail theft,1266.0
214,2003-07-01,95.0,386,{'charge_slug': '58-theft-from-building'},theft from building,481.0
215,2003-08-01,0.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
216,2003-08-01,307.0,911,{'charge_slug': '54-retail-theft'},retail theft,1218.0
217,2003-08-01,1.0,101,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,102.0
218,2003-08-01,94.0,377,{'charge_slug': '58-theft-from-building'},theft from building,471.0
219,2003-08-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
220,2003-09-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
221,2003-09-01,101.0,388,{'charge_slug': '58-theft-from-building'},theft from building,489.0
222,2003-09-01,0.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
223,2003-09-01,0.0,95,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,95.0
224,2003-09-01,289.0,1002,{'charge_slug': '54-retail-theft'},retail theft,1291.0
225,2003-10-01,301.0,1115,{'charge_slug': '54-retail-theft'},retail theft,1416.0
226,2003-10-01,0.0,3,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
227,2003-10-01,121.0,338,{'charge_slug': '58-theft-from-building'},theft from building,459.0
228,2003-10-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
229,2003-10-01,0.0,103,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,103.0
230,2003-11-01,0.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
231,2003-11-01,280.0,827,{'charge_slug': '54-retail-theft'},retail theft,1107.0
232,2003-11-01,0.0,69,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,69.0
233,2003-11-01,107.0,338,{'charge_slug': '58-theft-from-building'},theft from building,445.0
234,2003-11-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
235,2003-12-01,1.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
236,2003-12-01,93.0,331,{'charge_slug': '58-theft-from-building'},theft from building,424.0
237,2003-12-01,0.0,94,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,94.0
238,2003-12-01,305.0,1172,{'charge_slug': '54-retail-theft'},retail theft,1477.0
239,2003-12-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
